total_gap,missing_count,weak_count,moderate_count,strong_count,avg_skill_level,high_importance_gap,readiness
7,0,0,3,2,2.4,4,Job Ready
34,1,2,2,0,1.2,24,Not Ready
22,2,1,1,1,1.2,5,Not Ready
29,1,2,2,0,1.2,16,Not Ready
19,1,3,1,0,1.0,0,Not Ready
37,2,1,1,1,1.2,30,Not Ready
6,0,0,2,3,2.6,0,Job Ready
28,1,2,1,1,1.4,15,Not Ready
6,0,0,3,2,2.4,0,Job Ready
34,2,0,2,1,1.4,34,Not Ready
12,0,1,3,1,2.0,4,Almost Ready
25,2,0,1,2,1.6,15,Not Ready
21,0,3,2,0,1.4,10,Not Ready
39,3,0,0,2,1.2,39,Not Ready
35,3,1,1,0,0.6,15,Not Ready
36,1,4,0,0,0.8,28,Not Ready
20,2,1,0,2,1.4,12,Not Ready
15,1,1,2,1,1.6,0,Almost Ready
8,0,0,2,3,2.6,5,Almost Ready
18,0,2,1,2,2.0,16,Not Ready
20,1,1,1,2,1.8,5,Not Ready
12,0,1,2,2,2.2,8,Almost Ready
35,2,1,2,0,1.0,30,Not Ready
19,1,1,2,1,1.6,13,Not Ready
40,2,2,1,0,0.8,34,Not Ready
46,3,1,0,1,0.8,37,Not Ready
33,3,1,1,0,0.6,17,Not Ready
33,1,2,1,1,1.4,25,Not Ready
27,1,3,1,0,1.0,8,Not Ready
18,2,0,1,2,1.6,12,Not Ready
19,0,1,3,1,2.0,15,Not Ready
36,3,1,0,1,0.8,15,Not Ready
22,2,2,0,1,1.0,0,Not Ready
14,1,1,1,2,1.8,0,Almost Ready
39,1,3,0,1,1.2,33,Not Ready
10,0,1,0,4,2.6,10,Job Ready
12,2,0,1,2,1.6,0,Almost Ready
8,0,1,1,3,2.4,0,Job Ready
19,1,0,3,1,1.8,16,Not Ready
17,1,2,0,2,1.6,8,Not Ready
30,1,1,3,0,1.4,18,Not Ready
15,0,3,1,1,1.6,8,Almost Ready
20,2,1,1,1,1.2,12,Not Ready
36,2,3,0,0,0.6,8,Not Ready
19,1,1,2,1,1.6,5,Not Ready
27,0,2,3,0,1.6,23,Not Ready
26,0,2,2,1,1.8,20,Not Ready
31,2,1,2,0,1.0,20,Not Ready
22,0,1,3,1,2.0,19,Not Ready
35,2,2,1,0,0.8,31,Not Ready
28,1,1,3,0,1.4,24,Not Ready
33,2,1,2,0,1.0,29,Not Ready
40,2,1,0,2,1.4,40,Not Ready
15,0,2,1,2,2.0,8,Almost Ready
7,0,0,2,3,2.6,4,Job Ready
25,2,0,1,2,1.6,19,Not Ready
24,0,3,1,1,1.6,14,Not Ready
37,1,3,1,0,1.0,25,Not Ready
33,1,3,0,1,1.2,20,Not Ready
26,3,1,1,0,0.6,0,Not Ready
15,1,0,3,1,1.8,0,Almost Ready
31,2,1,1,1,1.2,25,Not Ready
17,1,1,3,0,1.4,5,Not Ready
36,2,2,0,1,1.0,15,Not Ready
23,1,2,2,0,1.2,8,Not Ready
24,2,1,0,2,1.4,12,Not Ready
18,1,1,2,1,1.6,0,Not Ready
37,2,2,1,0,0.8,33,Not Ready
10,1,2,0,2,1.6,0,Almost Ready
24,1,2,1,1,1.4,16,Not Ready
35,1,3,1,0,1.0,27,Not Ready
8,0,1,0,4,2.6,8,Job Ready
20,1,0,2,2,2.0,15,Not Ready
6,0,1,2,2,2.2,0,Job Ready
8,0,2,1,2,2.0,0,Almost Ready
20,1,1,1,2,1.8,12,Not Ready
7,0,1,3,1,2.0,0,Almost Ready
15,0,2,1,2,2.0,8,Almost Ready
24,1,0,4,0,1.6,20,Not Ready
33,4,0,0,1,0.6,24,Not Ready
35,2,2,1,0,0.8,30,Not Ready
27,1,3,0,1,1.2,18,Not Ready
9,2,0,0,3,1.8,0,Almost Ready
30,2,1,2,0,1.0,15,Not Ready
11,2,0,1,2,1.6,5,Almost Ready
24,1,1,3,0,1.4,13,Not Ready
22,2,1,0,2,1.4,12,Not Ready
12,0,3,0,2,1.8,0,Almost Ready
22,1,1,3,0,1.4,9,Not Ready
14,0,2,3,0,1.6,4,Not Ready
25,1,1,3,0,1.4,17,Not Ready
13,1,1,1,2,1.8,0,Almost Ready
14,1,1,2,1,1.6,8,Almost Ready
19,0,3,1,1,1.6,8,Not Ready
11,0,1,2,2,2.2,4,Almost Ready
20,1,1,2,1,1.6,10,Not Ready
12,2,1,0,2,1.4,0,Almost Ready
28,1,2,1,1,1.4,15,Not Ready
13,1,0,2,2,2.0,0,Almost Ready
11,0,0,3,2,2.4,10,Almost Ready
23,1,3,1,0,1.0,0,Not Ready
9,1,2,1,1,1.4,0,Almost Ready
13,0,3,1,1,1.6,0,Almost Ready
27,1,2,2,0,1.2,20,Not Ready
46,3,1,1,0,0.6,34,Not Ready
23,0,2,3,0,1.6,18,Not Ready
4,0,1,0,4,2.6,0,Job Ready
17,1,1,1,2,1.8,14,Not Ready
32,2,3,0,0,0.6,25,Not Ready
24,3,0,1,1,1.0,0,Not Ready
44,4,1,0,0,0.2,23,Not Ready
16,2,0,2,1,1.4,5,Not Ready
4,0,2,0,3,2.2,0,Job Ready
6,1,1,1,2,1.8,0,Job Ready
21,2,2,0,1,1.0,8,Not Ready
22,1,0,3,1,1.8,20,Not Ready
20,2,2,0,1,1.0,0,Not Ready
7,1,0,1,3,2.2,0,Almost Ready
12,1,1,1,2,1.8,8,Almost Ready
20,2,1,2,0,1.0,5,Not Ready
26,1,2,1,1,1.4,20,Not Ready
10,0,2,1,2,2.0,4,Almost Ready
23,1,1,1,2,1.8,19,Not Ready
12,0,1,1,3,2.4,10,Almost Ready
24,1,2,1,1,1.4,16,Not Ready
18,0,2,3,0,1.6,9,Not Ready
11,2,1,1,1,1.2,0,Almost Ready
2,0,0,1,4,2.8,0,Job Ready
21,1,1,2,1,1.6,18,Not Ready
21,1,1,2,1,1.6,14,Not Ready
22,4,1,0,0,0.2,0,Not Ready
9,0,1,1,3,2.4,0,Job Ready
37,3,0,1,1,1.0,31,Not Ready
8,0,1,2,2,2.2,0,Almost Ready
12,0,2,2,1,1.8,4,Almost Ready
24,2,1,1,1,1.2,20,Not Ready
35,2,1,1,1,1.2,25,Not Ready
7,0,1,1,3,2.4,0,Job Ready
53,4,0,1,0,0.4,42,Not Ready
9,0,1,1,3,2.4,8,Almost Ready
11,0,1,1,3,2.4,10,Almost Ready
47,2,3,0,0,0.6,45,Not Ready
9,0,1,2,2,2.2,4,Almost Ready
16,1,1,2,1,1.6,0,Not Ready
24,0,3,0,2,1.8,18,Not Ready
25,0,2,3,0,1.6,20,Not Ready
20,0,1,3,1,2.0,19,Not Ready
